1427	1565
975	1104
41	243
1184	1287
2093	2504
1017	1721
2757	3184
1078	1409
2254	2372
896	1875
2624	2654
2143	2151
2278	2593
1334	1540
2250	2582
694	853
2103	2308
2833	3011
2819	3272
2755	3098
729	889
107	1604
2210	2551
2367	2394
2888	3090
3604	3841
1103	1794
1757	1879
2125	2176
3002	3385
2347	2491
2377	2463
1363	1378
2956	3435
2706	2777
1539	1608
906	1888
1068	1620
1288	1456
2966	3033
2008	2126
1136	1687
2144	2594
2131	2190
2201	2430
3061	3081
471	537
990	3164
1718	1916
1520	1888
2172	2348
2333	2472
2347	2419
2282	2643
1117	1590
2187	2344
1985	2062
107	1547
2939	3316
2713	3120
2745	2864
2865	3365
2892	2934
1951	1995
2684	3182
828	851
2666	3096
3778	3827
2060	2308
1938	2118
966	1793
2849	3146
1309	1322
1955	2649
993	1491
417	537
3148	3378
1084	1722
484	1487
3286	3414
1628	1859
1104	1475
1997	2124
2125	2475
1279	1347
2726	3392
2201	2492
1661	1893
2032	2176
2689	2916
903	1333
1918	2043
2393	2449
432	504
0	252
2289	2616
2717	3022
373	374
2359	2428
700	745
1975	2049
2220	2559
2578	2593
2090	2112
1502	1503
1242	1597
1184	1669
1590	1717
989	1716
1291	1603
1449	1707
1335	1623
3493	3584
363	656
2046	2073
761	842
1396	1515
2710	2807
1964	2498
2870	3001
436	475
1222	1885
1092	1669
1993	1997
2679	2862
1718	2111
1221	1703
2088	2443
378	676
2150	2625
4009	4019
171	3003
2743	3135
640	647
1945	1994
3070	3350
2235	2243
2043	2485
1349	1606
58	3003
1341	1835
2778	2853
2508	2649
2516	2518
1917	2423
1945	2194
2266	2449
1431	1761
1179	1357
3252	3351
1185	1272
2186	2211
2276	2381
3609	3618
1479	1595
439	506
2244	2464
2001	2025
2078	2139
1097	1378
2149	2289
1980	2284
2050	2435
2675	3259
1222	1520
2492	2624
1962	2554
1465	2516
1352	1420
3017	3367
3693	3734
2729	2755
2449	2526
436	492
2796	3060
2280	2501
2308	2573
982	1663
2046	2347
1995	2268
3656	3756
1943	2150
1925	2045
0	41
1314	1533
1135	1637
2897	2910
1983	2063
1160	1604
1563	1663
1250	1402
2073	2460
952	1291
299	300
1421	1866
2020	2467
1006	1488
994	1427
1044	1583
2468	2506
1684	2858
2232	2313
67	169
1126	1267
2060	2495
2032	2416
2220	2615
1020	1475
2602	2607
1968	2143
3115	3132
1912	2291
1272	1613
2901	3051
418	555
3489	3676
1957	2626
0	293
3525	3948
461	475
2716	3347
1539	1768
1929	2654
1269	1621
2077	2352
1399	1746
2133	2567
2743	3036
2149	2547
1160	1722
1291	1621
1041	1469
1516	1619
2138	2194
395	506
2694	2763
10	277
2750	3226
2484	2552
1923	2047
212	271
1724	1816
3437	3845
3256	3385
1938	2334
622	639
3500	3655
391	417
2201	2340
2729	3090
1124	1735
946	1331
2463	2598
3731	3966
217	324
992	1798
2253	2363
3719	3951
2786	2916
927	1663
1185	1810
2140	2331
3247	3277
25	73
563	1808
2131	2576
2689	2910
1076	1126
2748	3198
1446	1766
1312	1621
637	1606
3087	3338
2290	2410
2359	2646
1391	1614
2770	3201
2696	2934
372	460
814	827
2246	2555
1201	1609
2111	2215
520	524
2928	3243
2068	2117
1514	1882
2074	2140
2065	2385
2218	2495
586	634
2128	2643
2150	2261
1054	1707
1938	2073
3273	3346
2090	2560
2394	2491
2266	2339
2207	2515
1966	2630
1242	1623
1097	1452
203	342
3518	3596
1604	1707
784	828
1456	1752
1017	1653
374	492
1242	1376
1454	1783
1684	3210
2116	2364
2343	2588
1086	1761
2268	2289
954	1020
1004	1399
2189	2510
3722	3773
438	488
3756	3830
2754	3195
1565	1744
2123	2240
908	1203
2241	2516
2782	2877
2261	2574
760	834
2398	2598
1938	2593
2052	2598
1520	1816
2526	2602
1217	1366
3690	3782
1926	2597
29	252
374	683
142	297
1587	1820
2044	2427
3696	3960
3458	3711
1024	1352
1943	2553
1804	1863
1663	1800
922	1312
1302	1835
1303	1742
2748	3076
21	25
2235	2510
1344	1689
1175	1467
1125	1207
1946	2139
899	1133
1201	1280
1352	1380
1917	2370
1931	2159
2117	2319
3516	3695
2319	2372
1985	2200
7	291
2661	3179
3755	3971
2278	2553
1750	1799
2128	2304
1335	1471
408	479
1963	2460
1970	2399
1080	1086
3013	3360
2307	2492
1344	1688
2920	2944
2356	2579
3776	3791
3877	3971
2754	2915
2093	2561
2124	2253
1758	3205
2986	3166
2250	2294
2161	2511
1236	1770
1102	1508
1048	1570
2232	2649
1086	1680
1048	1722
2189	2491
2220	2423
3462	3596
2879	3008
1938	2033
1314	1798
3082	3299
2072	2274
1926	2318
1163	1804
2919	3142
2956	3174
2894	2937
978	1547
2183	2333
2009	2116
2261	2414
1985	2468
2047	2642
1094	1543
1420	1799
2737	3273
2115	2625
1012	1400
1350	1894
995	1580
3831	3851
370	548
1684	2673
1118	1648
771	806
1137	1629
2022	2633
2128	2529
2139	2624
952	1376
2973	3396
1335	1662
2414	2485
1943	2200
2231	2236
1926	2319
2932	3369
2131	2142
2460	2485
3449	3491
2826	3165
2206	2655
3176	3420
2029	2540
1684	2871
1577	2468
1211	1330
1155	1574
2495	2574
2058	2244
3477	3637
2344	2616
3802	3921
2121	2237
2615	2654
2551	2560
497	500
2086	2539
2867	3426
3214	3342
1303	1661
1583	1587
2224	2384
2242	2272
739	797
3154	3334
2750	3052
419	551
1467	1554
2345	2537
1545	1762
414	583
1622	1886
1322	1691
363	1545
2796	2921
199	232
1946	2063
698	886
2533	2629
1621	1886
2611	2631
1273	1595
107	1219
2352	2370
1070	1296
1791	1849
2449	2655
3188	3260
211	285
930	1155
2787	2793
774	856
1505	1674
1149	1833
3075	3357
1352	1665
3830	3926
2090	2391
2880	2945
57	249
2778	3335
2078	2200
3584	3793
1684	3302
2224	2555
957	1715
1049	1110
1399	1864
1804	1898
2092	2288
1578	1655
2781	3082
1712	1761
975	1576
1229	1635
2485	2586
3840	3850
1078	1153
107	1500
1341	1416
3072	3385
795	813
2108	2118
2367	2571
30	329
2928	2956
2124	2188
3830	3913
2264	2510
2040	2266
2118	2266
2029	2242
2410	2646
302	315
716	820
1104	1462
3997	4023
1954	2509
2665	3330
1125	1480
1405	1835
2031	2127
2438	2643
2897	2912
1431	1621
2087	2250
2078	2095
902	1100
1181	1867
2897	2916
2011	2658
2867	2946
1042	1634
2154	2306
521	544
1164	1734
455	531
3604	3734
925	1198
1986	2611
830	846
618	636
1152	1473
2396	2451
2943	3284
2053	2111
1399	1712
1006	1230
1212	1829
1577	2533
2087	2653
1086	1402
21	272
1184	1237
3783	3791
2031	2327
1665	1888
3120	3280
2575	2593
1997	2074
3514	3627
1079	1795
3980	3994
1953	2055
4003	4009
2007	2117
3437	3900
1255	1376
